remaining_time,robot_mode,alarm,robot_x,robot_y,robot_theta,tree 1,tree 2,tree 3,tree 4,tree 5,tree 6,tree 7,tree 8,tree 9,battery_level,temperature,water_robot_tank,water_ground_tank,leak 1,leak 2,leak 3,leak 4,leak 5,leak 6,leak 7,leak 8,leak 9,direction,avancement,left,right,front,back,space,left,right,push,wrench,leak 1,leak 2,leak 3,leak 4,leak 5,leak 6,leak 7,leak 8,leak 9,rm_alarm,errors,shortcuts
560,1,-1,4.496543884277344,12.391979217529295,2.09893536567688,0,0,1,0,0,0,1,1,0,80,20.0,40,50.89682539682514,0,0,0,0,0,0,0,0,0,0.5428886413574219,0.003237146324569265,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
559,1,-1,4.496543884277344,12.391979217529295,2.09893536567688,0,0,1,0,0,0,1,1,0,80,20.0,40,50.89682539682514,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
558,1,-1,4.496434688568115,12.39194107055664,2.7576937675476074,0,0,1,0,0,0,1,1,0,79,20.0,40,50.89682539682514,0,0,0,0,0,0,0,0,0,0.6587584018707275,0.00011566717095450935,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
557,1,4,3.62767505645752,12.58427619934082,2.9500479698181152,0,0,1,0,0,0,1,1,0,79,20.0,40,50.89682539682514,0,0,0,0,0,0,0,0,0,0.1923542022705078,0.8897955383959641,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
556,1,-1,1.9889332056045528,12.900572776794435,2.9507150650024414,0,0,1,0,0,0,1,1,0,78,20.0,40,50.89682539682514,0,0,0,0,0,0,0,0,0,0.0006670951843261719,1.6689872314208638,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
555,1,-1,0.3500702679157257,13.21415901184082,2.95336389541626,0,0,1,0,0,0,1,1,0,78,20.0,40,50.89682539682514,0,0,0,0,0,0,0,0,1,0.0026488304138188035,1.668594634817162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2,-2
554,1,-1,-1.2890053987503052,13.525909423828125,2.9525139331817627,0,0,1,0,0,0,1,1,0,77,20.0,40,50.34126984126957,0,0,0,0,0,0,0,0,1,-0.0008499622344975144,1.6684595771042665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
553,1,-1,-2.9274940490722656,13.840197563171387,2.9519643783569336,0,0,1,0,0,0,1,1,0,77,20.0,40,49.78571428571399,0,0,0,0,0,0,0,0,1,-0.0005495548248291016,1.6683591015622892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
552,1,-1,-4.5667643547058105,14.150181770324707,2.9588816165924072,0,0,1,0,1,0,1,1,0,76,20.0,40,49.23015873015842,0,0,0,0,0,0,0,0,1,0.006917238235473633,1.6683217146630827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
551,1,-1,-6.207848072052003,14.45000457763672,2.9621713161468506,0,0,1,0,1,0,1,1,0,76,20.0,40,48.67460317460285,0,0,0,0,0,0,0,0,0,0.0032896995544433594,1.6682474286277962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2,-2
